,Latitude,Longitude,BlockfaceName,SourceElementKey
42,-122.34303031,47.62096077,THOMAS ST BETWEEN AURORA AVE N AND DEXTER AVE N,81125
44,-122.34221309,47.62759084,DEXTER AVE N BETWEEN ALOHA ST AND WARD ST,134962
45,-122.33049132,47.62923993,FAIRVIEW NR AVE N BETWEEN YALE AVE N AND DEAD END,94612
46,-122.33776987,47.62196471,HARRISON ST BETWEEN WESTLAKE AVE N AND TERRY AVE N,78702
48,-122.32936627,47.6273401,EASTLAKE AVE E BETWEEN ALOHA ST AND WARD ST,10165
49,-122.33237107,47.6219051,HARRISON ST BETWEEN MINOR AVE N AND PONTIUS AVE N,33518
50,-122.33104118,47.61973548,JOHN ST BETWEEN PONTIUS E AVE N AND YALE AVE N,33745
55,-122.3336516,47.62306687,REPUBLICAN ST BETWEEN FAIRVIEW AVE N AND MINOR AVE N,12550
57,-122.34299816,47.61980442,JOHN ST BETWEEN 7TH NB AVE N AND DEXTER AVE N,56349
59,-122.34219801,47.62928579,DEXTER AVE N BETWEEN PROSPECT ST AND HIGHLAND DR,134965
61,-122.33653521,47.62313632,REPUBLICAN ST BETWEEN TERRY AVE N AND BOREN AVE N,35198
63,-122.33362811,47.61973194,JOHN ST BETWEEN FAIRVIEW AVE N AND MINOR AVE N,79029
66,-122.33509668,47.6232647,REPUBLICAN ST BETWEEN BOREN AVE N AND FAIRVIEW AVE N,12545
68,-122.33705498,47.6214455,TERRY AVE N BETWEEN THOMAS ST AND HARRISON ST,13110
71,-122.3323618,47.62203391,HARRISON ST BETWEEN MINOR AVE N AND PONTIUS AVE N,33517
73,-122.33917374,47.62446547,MERCER SR ST BETWEEN 9TH AVE N AND WESTLAKE AVE N,79778
74,-122.34170543,47.62080932,THOMAS ST BETWEEN DEXTER AVE N AND 8TH AVE N,81130
75,-122.33108562,47.6242189,MERCER ST BETWEEN PONTIUS AVE N AND YALE AVE N,11786
76,-122.34243224,47.62757257,DEXTER AVE N BETWEEN ALOHA ST AND WARD ST,134961
77,-122.34166097,47.61964009,JOHN ST BETWEEN DEXTER AVE N AND 8TH AVE N,56354
84,-122.34042507,47.62328513,REPUBLICAN ST BETWEEN 8TH AVE N AND 9TH AVE N,80545
88,-122.33596324,47.62027032,BOREN AVE N BETWEEN JOHN ST AND THOMAS ST,32121
92,-122.33777132,47.6247452,MERCER NR ST BETWEEN WESTLAKE AVE N AND TERRY AVE N,130799
94,-122.33364073,47.62205537,HARRISON ST BETWEEN FAIRVIEW AVE N AND MINOR AVE N,10797
96,-122.3422468,47.61912951,DEXTER AVE N BETWEEN DENNY WAY AND JOHN ST,55370
97,-122.32935349,47.62599666,EASTLAKE AVE E BETWEEN LAKEVIEW BLVD E AND ALOHA ST,10161
99,-122.33309802,47.62256499,MINOR AVE N BETWEEN HARRISON ST AND REPUBLICAN ST,34509
100,-122.33287778,47.62025858,MINOR AVE N BETWEEN JOHN ST AND THOMAS ST,34502
101,-122.34041685,47.62445789,MERCER SR ST BETWEEN 8TH AVE N AND 9TH AVE N,34386
102,-122.33701541,47.62386337,TERRY AVE N BETWEEN REPUBLICAN ST AND MERCER SR ST,81118
103,-122.33913076,47.62094236,THOMAS ST BETWEEN 9TH AVE N AND WESTLAKE AVE N,58445
105,-122.33286288,47.61908923,MINOR AVE N BETWEEN DENNY WAY AND JOHN ST,11882
106,-122.33727797,47.62144907,TERRY AVE N BETWEEN THOMAS ST AND HARRISON ST,13109
108,-122.33776217,47.62093987,THOMAS ST BETWEEN WESTLAKE AVE N AND TERRY AVE N,35745
110,-122.33783456,47.62446799,MERCER SR ST BETWEEN WESTLAKE AVE N AND TERRY AVE N,11778
