,SourceElementKey,BlockfaceName,Latitude,Longitude
3345353,35198,REPUBLICAN ST BETWEEN TERRY AVE N AND BOREN AVE N,-122.33653521,47.62313632
3257523,77986,DEXTER AVE N BETWEEN WARD ST AND PROSPECT ST,-122.3422055,47.62844527
3237186,55638,FAIRVIEW AVE N BETWEEN THOMAS ST AND HARRISON ST,-122.33418976,47.62139099
3412338,81242,VALLEY ST BETWEEN TERRY AVE N AND LAKE UNION PARK ACCESS RD,-122.33666877,47.62564256
2563867,79042,JOHN ST BETWEEN YALE AVE N AND EASTLAKE AVE E,-122.32987656,47.61960575
2491811,10165,EASTLAKE AVE E BETWEEN ALOHA ST AND WARD ST,-122.32936627,47.6273401
3148828,13105,TERRY AVE N BETWEEN JOHN ST AND THOMAS ST,-122.33727531,47.62027821
3280758,55370,DEXTER AVE N BETWEEN DENNY WAY AND JOHN ST,-122.3422468,47.61912951
3281070,77985,DEXTER AVE N BETWEEN WARD ST AND PROSPECT ST,-122.34242449,47.62844616
3232284,76714,ALOHA ST BETWEEN AURORA AVE N AND DEXTER AVE N,-122.34286858,47.62710533
3290594,76713,ALOHA ST BETWEEN AURORA AVE N AND DEXTER AVE N,-122.34286784,47.62717661
3098672,130799,MERCER NR ST BETWEEN WESTLAKE AVE N AND TERRY AVE N,-122.33777132,47.6247452
3323463,120105,EASTLAKE AVE E BETWEEN PROSPECT ST AND E NELSON PL,-122.32878566,47.629648
3126986,78069,EASTLAKE AVE E BETWEEN DENNY LOWER WAY AND STEWART ST,-122.32925328,47.61913534
3241141,81246,VALLEY ST BETWEEN FAIRVIEW AVE N AND MINOR AVE N,-122.33348049,47.62587776
2809804,10801,HARRISON ST BETWEEN PONTIUS AVE N AND YALE AVE N,-122.33109893,47.62203842
2997323,12538,REPUBLICAN ST BETWEEN DEXTER AVE N AND 8TH AVE N,-122.34167861,47.62315819
3253255,10161,EASTLAKE AVE E BETWEEN LAKEVIEW BLVD E AND ALOHA ST,-122.32935349,47.62599666
3357950,32122,BOREN AVE N BETWEEN JOHN ST AND THOMAS ST,-122.33576039,47.62028326
3343358,10873,HARRISON ST BETWEEN 8TH AVE N AND 9TH AVE N,-122.34041259,47.62212546
3300830,57874,REPUBLICAN ST BETWEEN YALE AVE N AND EASTLAKE AVE E,-122.32979127,47.62308945
3294710,13789,YALE AVE N BETWEEN STEWART ST AND JOHN ST,-122.33048815,47.61922926
3360475,80554,REPUBLICAN ST BETWEEN MINOR AVE N AND PONTIUS AVE N,-122.33234469,47.62306574
2672478,13261,VALLEY ST BETWEEN AURORA AVE N AND DEXTER AVE N,-122.34289167,47.62631903
3252734,79041,JOHN ST BETWEEN YALE AVE N AND EASTLAKE AVE E,-122.3297911,47.61975161
3307676,55453,EASTLAKE AVE E BETWEEN E NELSON PL AND FAIRVIEW AVE N,-122.32681868,47.63134595
3352189,79789,MERCER ST BETWEEN YALE AVE N AND EASTLAKE AVE E,-122.32982852,47.62432634
3346710,34506,MINOR AVE N BETWEEN THOMAS ST AND HARRISON ST,-122.33288439,47.62139794
3126972,34881,PONTIUS AVE N BETWEEN THOMAS ST AND HARRISON ST,-122.33182921,47.62139227
2777428,34518,MINOR AVE N BETWEEN VALLEY ST AND ALOHA ST,-122.33247238,47.6264104
2643817,8405,8TH AVE N BETWEEN VALLEY ST AND ALOHA ST,-122.34114567,47.6266943
3322364,33005,EASTLAKE AVE E BETWEEN STEWART ST AND THOMAS ST,-122.32926393,47.62021914
2638948,9393,BOREN AVE N BETWEEN THOMAS ST AND HARRISON ST,-122.33595379,47.62142469
3225282,130802,MERCER NR ST BETWEEN TERRY AVE N AND BOREN AVE N,-122.33650821,47.62473843
3398978,11882,MINOR AVE N BETWEEN DENNY WAY AND JOHN ST,-122.33286288,47.61908923
3253216,10874,HARRISON ST BETWEEN 8TH AVE N AND 9TH AVE N,-122.3404443,47.62196658
3330835,79026,JOHN ST BETWEEN 9TH AVE N AND WESTLAKE AVE N,-122.33909112,47.61963382
2824149,57549,PONTIUS AVE N BETWEEN REPUBLICAN ST AND MERCER ST,-122.33182337,47.62370101
