SourceElementKey,Latitude,Longitude,BlockfaceName,SideOfStreet,ParkingSpaceCount,PaidParkingArea
79033,-122.33257278,47.61973707,JOHN ST BETWEEN MINOR AVE N AND PONTIUS E AVE N,N,9,South Lake Union
79778,-122.33917374,47.62446547,MERCER SR ST BETWEEN 9TH AVE N AND WESTLAKE AVE N,S,2,South Lake Union
32177,-122.32352842,47.61581966,BOYLSTON AVE BETWEEN E PINE ST AND E OLIVE ST,W,5,Capitol Hill
58453,-122.33361805,47.62089482,THOMAS ST BETWEEN FAIRVIEW AVE N AND MINOR AVE N,N,8,South Lake Union
34877,-122.33180157,47.62024096,PONTIUS AVE N BETWEEN JOHN E ST AND THOMAS ST,W,9,South Lake Union
32266,-122.32080973,47.62255516,BROADWAY E BETWEEN E HARRISON ST AND E REPUBLICAN ST,E,8,Capitol Hill
34518,-122.33247238,47.6264104,MINOR AVE N BETWEEN VALLEY ST AND ALOHA ST,E,10,South Lake Union
58197,-122.32416226,47.61080097,SPRING ST BETWEEN MINOR AVE AND SUMMIT AVE,NW,10,First Hill
57194,-122.3311435,47.61726292,MINOR AVE BETWEEN HOWELL ST AND STEWART ST,NE,8,Denny Triangle
77313,-122.32285409,47.61177526,BOYLSTON AVE BETWEEN SPRING ST AND SENECA ST,SW,8,First Hill
56690,-122.33838309,47.61602424,LENORA ST BETWEEN 7TH AVE AND 8TH AVE,SE,5,Denny Triangle
35822,-122.32873326,47.61073647,UNIVERSITY ST BETWEEN 9TH AVE AND TERRY AVE,SE,6,First Hill
58445,-122.33913076,47.62094236,THOMAS ST BETWEEN 9TH AVE N AND WESTLAKE AVE N,N,7,South Lake Union
32053,-122.32458536,47.61580362,BELMONT AVE BETWEEN E PINE ST AND E OLIVE ST,W,8,Capitol Hill
24413,-122.31829651,47.61696889,11TH AVE BETWEEN E OLIVE ST AND E HOWELL ST,W,31,Capitol Hill
30970,-122.33560622,47.61399229,7TH AVE BETWEEN OLIVE WAY AND STEWART ST,NE,6,Denny Triangle
8389,-122.33478081,47.61448278,8TH AVE BETWEEN OLIVE WAY AND STEWART ST,SW,6,Denny Triangle
12949,-122.32333449,47.61061816,SUMMIT AVE BETWEEN MADISON ST AND SPRING ST,SW,10,First Hill
81134,-122.33105113,47.62075019,THOMAS ST BETWEEN PONTIUS AVE N AND YALE AVE N,S,8,South Lake Union
81206,-122.32538017,47.61213261,UNIVERSITY ST BETWEEN MINOR AVE AND SUMMIT AVE,SE,10,First Hill
59038,-122.3303386,47.62254634,YALE AVE N BETWEEN HARRISON ST AND REPUBLICAN ST,E,10,South Lake Union
130802,-122.33650821,47.62473843,MERCER NR ST BETWEEN TERRY AVE N AND BOREN AVE N,N,5,South Lake Union
54734,-122.32078533,47.6215287,BROADWAY E BETWEEN E THOMAS ST AND E HARRISON ST,E,8,Capitol Hill
55454,-122.32657593,47.63127461,EASTLAKE AVE E BETWEEN E NELSON PL AND FAIRVIEW AVE N,SE,8,South Lake Union
35745,-122.33776217,47.62093987,THOMAS ST BETWEEN WESTLAKE AVE N AND TERRY AVE N,N,1,South Lake Union
79365,-122.33668489,47.61755058,LENORA ST BETWEEN 9TH AVE AND TERRY AVE,NW,5,Denny Triangle
55638,-122.33418976,47.62139099,FAIRVIEW AVE N BETWEEN THOMAS ST AND HARRISON ST,E,10,South Lake Union
76430,-122.33968445,47.62029437,9TH AVE N BETWEEN JOHN ST AND THOMAS ST,E,10,South Lake Union
56694,-122.33742376,47.61675811,LENORA ST BETWEEN 8TH AVE AND 9TH AVE,SE,1,Denny Triangle
81686,-122.33028852,47.61792977,YALE AVE BETWEEN HOWELL ST AND STEWART ST,NE,9,Denny Triangle
11138,-122.34052184,47.6196361,JOHN ST BETWEEN 8TH AVE N AND 9TH AVE N,S,21,South Lake Union
30702,-122.33655818,47.61340849,6TH AVE BETWEEN OLIVE WAY AND STEWART ST,NE,4,Denny Triangle
76197,-122.34118265,47.62032565,8TH AVE N BETWEEN JOHN ST AND THOMAS ST,W,25,South Lake Union
76193,-122.33732798,47.6160495,8TH AVE BETWEEN VIRGINIA ST AND WESTLAKE AVE,SW,6,Denny Triangle
76713,-122.34286784,47.62717661,ALOHA ST BETWEEN AURORA AVE N AND DEXTER AVE N,N,4,South Lake Union
53550,-122.34086055,47.62817888,8TH AVE N BETWEEN ALOHA ST AND WESTLAKE S AVE N,E,16,South Lake Union
31310,-122.33968381,47.61912274,9TH AVE N BETWEEN DENNY WAY AND JOHN ST,E,13,South Lake Union
81125,-122.34303031,47.62096077,THOMAS ST BETWEEN AURORA AVE N AND DEXTER AVE N,N,5,South Lake Union
76409,-122.32712961,47.60802033,9TH AVE BETWEEN MARION ST AND MADISON ST,SW,5,First Hill
54038,-122.32217322,47.60360867,ALDER ST BETWEEN 9TH AVE AND TERRY AVE,SE,6,First Hill
12770,-122.32359673,47.61186616,SENECA ST BETWEEN SUMMIT AVE AND BOYLSTON AVE,SE,7,First Hill
57190,-122.32168833,47.60734463,MINOR AVE BETWEEN JAMES ST AND CHERRY ST,NE,5,First Hill
77985,-122.34242449,47.62844616,DEXTER AVE N BETWEEN WARD ST AND PROSPECT ST,W,6,South Lake Union
